Bid Item Category,Bid Item Num,Bid Item Number,Bid Item Description,Quantity,UOM,
203,02000,203-02000,Drilling and Blasting,0,LF,!B302
203,02060,203-02060,Presplitting,0,LF,!B303
203,02300,203-02300,Rock Scaler,0,HOUR,!B304
203,02310,203-02310,Scaler Foreman,0,HOUR,!B305
203,02312,203-02312,Hand Scaling,0,HOUR,!B306
203,02315,203-02315,Mechanized Scaling,0,HOUR,!B307
203,02320,203-02320,Blaster,0,HOUR,!B308
203,02324,203-02324,Blast Vibration Monitoring,0,L S,!B309
203,02330,203-02330,Laborer,0,HOUR,!B310
203,03005,203-03005,Portal Area Excavation (Haul),0,CY,!B311
203,03105,203-03105,Cinnamon Creek Area Excavation (Haul),0,CY,!B312
203,62340,203-62340,Salaried Foreman and Pickup,0,HOUR,!B313
204,00000,204-00000,Haul,0,YM,!B314
204,00010,204-00010,Haul,0,TM,!B315
206,00000,206-00000,Structure Excavation,0,CY,!B316
206,00010,206-00010,Structure Excavation (Special),0,CY,!B317
206,00050,206-00050,Structure Backfill (Special),0,CY,!B318
206,00060,206-00060,Structure Backfill (Special) (Flow-Fill),0,CY,!B319
206,00065,206-00065,Structure Backfill (Flow-Fill),0,CY,!B320
206,00066,206-00066,Structure Backfill (Flowable Fly Ash),0,CY,!B321
206,00070,206-00070,Structure Backfill (Controlled Low Strength Materials),0,CY,!B322
206,00100,206-00100,Structure Backfill (Class 1),0,CY,!B323
206,00105,206-00105,Cement Treated Base,0,CY,!B324
206,00200,206-00200,Structure Backfill (Class 2),0,CY,!B325
206,00310,206-00310,Structure Backfill (Reinforced Earth Wall),0,CY,!B326
206,00315,206-00315,Structure Backfill (Mechanically Stabilized Earth Wall),0,CY,!B327
206,00320,206-00320,Structure Backfill (Concrete Retaining Wall),0,CY,!B328
206,00325,206-00325,Structure Backfill (Mechanically Stabilized Earth Fill),0,CY,!B329
206,00350,206-00350,Structure Backfill (Mechanically Stabilized Earth),0,CY,!B330
206,00360,206-00360,Mechanical Reinforcement of Soil,0,CY,!B331
206,00505,206-00505,Filter Material (Special),0,CY,!B332
206,00507,206-00507,Filter Material (Porous Concrete),0,CY,!B333
206,00510,206-00510,Filter Material (Class A),0,CY,!B334
206,00520,206-00520,Filter Material (Class B),0,CY,!B335
206,00530,206-00530,Filter Material (Class C),0,CY,!B336
206,00590,206-00590,Filter Material (Porous Concrete),0,CY,!B337
206,01000,206-01000,Bed Course Material,0,CY,!B338
206,01001,206-01001,Bed Course Material (Special),0,CY,!B339
206,01010,206-01010,Bed Course Material,0,TON,!B340
206,01015,206-01015,Aggregate Filter Blanket (2 Feet),0,SY,!B341
206,01020,206-01020,Aggregate Filter Blanket (3 Feet),0,SY,!B342
206,01025,206-01025,Rock Blanket (1 Foot),0,SY,!B343
206,01030,206-01030,Rock Blanket (2 Feet),0,SY,!B344
206,01500,206-01500,Cofferdam,0,L S,!B345
206,01550,206-01550,Cofferdam (Area 1),0,L S,!B346
206,01555,206-01555,Cofferdam (Area 2),0,L S,!B347
206,01560,206-01560,Cofferdam (Area 3),0,L S,!B348
206,01600,206-01600,Temporary Excavation Support,0,L S,!B349
206,01701,206-01701,Temporary Excavation Support (Area 1),0,L S,!B350
206,01702,206-01702,Temporary Excavation Support (Area 2),0,L S,!B351
206,01703,206-01703,Temporary Excavation Support (Area 3),0,L S,!B352
206,01704,206-01704,Temporary Excavation Support (Area 4),0,L S,!B353
206,01705,206-01705,Temporary Excavation Support (Area 5),0,L S,!B354
206,01706,206-01706,Temporary Excavation Support (Area 6),0,L S,!B355
206,01707,206-01707,Temporary Excavation Support (Area 7),0,L S,!B356
206,01708,206-01708,Temporary Excavation Support (Area 8),0,L S,!B357
206,01709,206-01709,Temporary Excavation Support (Area 9),0,L S,!B358
206,01710,206-01710,Temporary Excavation Support (Area 10),0,L S,!B359
206,01711,206-01711,Temporary Excavation Support (Area 11),0,L S,!B360
206,01712,206-01712,Temporary Excavation Support (Area 12),0,L S,!B361
206,01713,206-01713,Temporary Excavation Support (Area 13),0,L S,!B362
206,01714,206-01714,Temporary Excavation Support (Area 14),0,L S,!B363
206,01715,206-01715,Temporary Excavation Support (Area 15),0,L S,!B364
206,01716,206-01716,Temporary Excavation Support (Area 16),0,L S,!B365
206,01717,206-01717,Temporary Excavation Support (Area 17),0,L S,!B366
206,01718,206-01718,Temporary Excavation Support (Area 18),0,L S,!B367
206,01719,206-01719,Temporary Excavation Support (Area 19),0,L S,!B368
206,01720,206-01720,Temporary Excavation Support (Area 20),0,L S,!B369
206,01721,206-01721,Temporary Excavation Support (Area 21),0,L S,!B370
206,01722,206-01722,Temporary Excavation Support (Area 22),0,L S,!B371
206,01750,206-01750,Shoring,0,L S,!B372
206,01781,206-01781,Shoring (Area 1),0,L S,!B373
206,01782,206-01782,Shoring (Area 2),0,L S,!B374
206,01783,206-01783,Shoring (Area 3),0,L S,!B375
206,01784,206-01784,Shoring (Area 4),0,L S,!B376
206,01785,206-01785,Shoring (Area 5),0,L S,!B377
206,01786,206-01786,Shoring (Area 6),0,L S,!B378
206,01787,206-01787,Shoring (Area 7),0,L S,!B379
206,01788,206-01788,Shoring (Area 8),0,L S,!B380
206,01789,206-01789,Shoring (Area 9),0,L S,!B381
206,01790,206-01790,Shoring (Area 10),0,L S,!B382
206,01791,206-01791,Shoring (Area 11),0,L S,!B383
206,01792,206-01792,Shoring (Area 12),0,L S,!B384
206,01793,206-01793,Shoring (Area 13),0,L S,!B385
206,01794,206-01794,Shoring (Area 14),0,L S,!B386
206,01795,206-01795,Shoring (Area 15),0,L S,!B387
207,00205,207-00205,Topsoil,0,CY,!B388
207,00210,207-00210,Stockpile Topsoil,0,CY,!B389
207,00305,207-00305,Wetland Topsoil,0,CY,!B390
207,00310,207-00310,Stockpile Wetland Topsoil,0,CY,!B391
207,00405,207-00405,Topsoil (Special),0,CY,!B392
207,01110,207-01110,Planter Soil Mix,0,CY,!B393
208,00000,208-00000,Ditch Guard,0,LF,!B394
208,00001,208-00001,Silt Dike,0,LF,!B395
208,00002,208-00002,Erosion Log Type 1 (12 Inch),0,LF,!B396
208,00003,208-00003,Erosion Log (18 Inch),0,LF,!B397
208,00004,208-00004,Silt Berm,0,LF,!B398
208,00005,208-00005,Erosion Log,460,LF,!B399
208,00006,208-00006,Erosion Log (Special),0,LF,!B400
208,00007,208-00007,Erosion Log Type 2 (8 Inch),0,LF,!B401
208,00008,208-00008,Erosion Log Type 2 (12 Inch),0,LF,!B402
208,00009,208-00009,Erosion Log Type 2 (18 Inch),0,LF,!B403
208,00010,208-00010,Erosion Bales,0,EACH,!B404
208,00011,208-00011,Erosion Bales (Weed Free),0,EACH,!B405
208,00012,208-00012,Erosion Log Type 1 (9 Inch),0,LF,!B406
208,00013,208-00013,Erosion Log Type 1 (20 Inch),0,LF,!B407
208,00015,208-00015,Sand Bag,0,EACH,!B408
208,00018,208-00018,Gravel Bag,0,LF,!B409
208,00019,208-00019,Silt Fence (Reinforced)(Special),0,LF,!B410
208,00020,208-00020,Silt Fence,0,LF,!B411
208,00021,208-00021,Silt Fence (Reinforced),0,LF,!B412
208,00022,208-00022,Erosion Log (Type 3)(9 Inch),0,LF,!B413
208,00023,208-00023,Erosion Log (Type 3)(12 Inch),0,LF,!B414
208,00024,208-00024,Erosion Log (Type 3)(20 Inch),0,LF,!B415
208,00025,208-00025,Plastic Sheeting,0,SY,!B416
208,00026,208-00026,Coir Roll,0,LF,!B417
208,00030,208-00030,Sediment Basin,0,EACH,!B418
208,00033,208-00033,Sediment Trap,0,EACH,!B419
208,00034,208-00034,Gravel Bag,300,LF,!B420
208,00035,208-00035,Aggregate Bag,0,LF,!B421
208,00036,208-00036,Aggregate Bag (Special),0,LF,!B422
208,00040,208-00040,Check Dam,0,EACH,!B423
208,00041,208-00041,Rock Check Dam,0,EACH,!B424
208,00045,208-00045,Concrete Washout Structure,8,EACH,!B425
208,00046,208-00046,Pre-fabricated Concrete Washout Structure,0,EACH,!B426
208,00050,208-00050,Storm Drain Inlet Protection,0,EACH,!B427
208,00051,208-00051,Storm Drain Inlet Protection (Type I),0,LF,!B428
208,00052,208-00052,Storm Drain Inlet Protection (Type II),0,LF,!B429
208,00053,208-00053,Storm Drain Inlet Protection (Type I),0,EACH,!B430
208,00054,208-00054,Storm Drain Inlet Protection (Type II),0,EACH,!B431
208,00055,208-00055,Rigid Inlet Protection Device,0,EACH,!B432
